Country,Region,Location,Current name,Year,Notes
Serbia,Belgrade,Kingdom of Serbia(Belgrade),University of Belgrade,1808,"Founded in 1808 as the Belgrade Higher School, by 1838 it merged with the Kragujevac-based departments into a single university, under current name from 1905; Orthodox Christian Lyceum in 1794; Teacher's college in 1778."
Slovakia,Bratislava,Czechoslovakia(Bratislava),Comenius University,1919,
Slovenia,Ljubljana,"Kingdom of Serbs, Croats and Slovenes(Ljubljana)",University of Ljubljana,1919,
Spain,Seville,Spain(Seville),University of Seville,1505,
Kingdom of Sweden,Lund,Kingdom of Sweden(Lund),Lund University,1666,"A Franciscan Studium Generale was founded in Lund in 1425, as the first university in Northern Europe, but as a result of the Protestant Reformation the operations of the catholic university were suspended."
Switzerland,Lausanne,Old Swiss Confederacy(Lausanne),University of Lausanne,1537,
Switzerland,Zurich,Switzerland(Zurich),University of Zurich,1833,"University established in 1833, taking in the Carolinum theology college, dating to 1525, and colleges of law and medicine."
Turkey,Istanbul,Ottoman Empire(Constantinople),Istanbul Technical University,1773,"Founded in 1773 as Imperial School of Naval Engineering by the Ottoman Sultan Mustafa III, but became a state university in 1928.[107]"
Turkey,Istanbul,Ottoman Empire(Constantinople),Istanbul University,1453,Its ultimate origins lie in a madrasa and institute of higher education founded by the Ottoman Sultan Mehmed II in 1453; was reformed to a Western style of education with multiple faculties of sciences in 1846; gained university status in 1933.
Ukraine,Kharkiv,Russian Empire(Kharkiv),V. N. Karazin Kharkiv National University,1804,
Ukraine,Lviv,Polishâ€“Lithuanian Commonwealth(LwÃ³w),Lviv University,1661,"Operated from 1661 to 1773, 1784â€“1805, 1817â€“1848, and since 1850."
United Kingdom(Â Scotland),Edinburgh,Kingdom of Scotland(Edinburgh),University of Edinburgh,1582,Formally established as the Tounis College (Town's College) under the authority of a royal charter granted to the Town of Edinburgh by King James VI of Scotland on 14 April 1582.[109][110] It opened its doors to students in October 1583.[111]
United Kingdom(Â England),Durham,United Kingdom(Â England)(Durham),Durham University,1832,Claims to be the third oldest university in England.[113][114] Listed by RÃ¼egg in A History of the University in Europe as meeting standard criteria for recognition as a university from 1832.[112]  Established under the authority of the University of Durham Act 1832.[115] Recognised as a university in the Municipal Corporations Act 1835 and the Established Church Act 1836.[116][117] Incorporated and confirmed by Royal Charter in 1837 and degrees granted equal privileges with those of Oxford and Cambridge by the Attorneys and Solicitors Act 1837.[118][119]
United Kingdom(Â England),London,United Kingdom(Â England)(London),University of London,1836,"Claims to be the third oldest university in England on the basis of the date of its charter.[120] Listed by RÃ¼egg as meeting standard criteria for recognition as a university from 1836.[112] Established by Royal Charter as degree awarding examining body for King's College London and University College London (see below), the London medical schools, and other institutions.[121] Degrees granted equal privileges with those of Oxford and Cambridge by the Attorneys and Solicitors Act 1837.[119]University College London (founded 1826; charter 1836) and King's College London (charter 1829[122]) claim to be the third and fourth oldest universities in England,[123][124][125] but did not offer degree courses prior to the foundation of the University of London[126] and did not gain their own degree awarding powers until 2005 and 2006 respectively.[127][128] They are listed by RÃ¼egg as colleges of the University of London rather than as a universities.[112]"
United Kingdom(Northern Ireland),Northern,United Kingdom(Ireland)(Belfast),Queen's University Belfast,1845,"Oldest university in Northern Ireland. Listed by RÃ¼egg as meeting standard criteria for recognition as a university from 1845.[112] Founded 1845, as a university college offering courses leading to degrees of the Queen's University of Ireland then the Royal University of Ireland, gained university status in 1908.[129]"
United Kingdom(Â Wales),Cardiff,"United Kingdom(Â Wales)(Aberystwyth,Bangor,Cardiff)",University of Wales,1893,"Founded by Royal Charter in 1893 as a federal university with three constituent colleges â€“ Aberystwyth, Bangor and Cardiff â€“ the university was the first and oldest university in Wales. Listed by RÃ¼egg as meeting standard criteria for recognition as a university from 1893[130]"
United Kingdom(Â Wales),Carmarthen,"United Kingdom(Â Wales)(Carmarthen,Lampeter)",University of Wales Trinity Saint David,1852,"The university was founded as St David's College (Coleg Dewi Sant) in 1822 ""to provide a liberal education to members of the clergy"" and was incorporated by royal charter in 1828.[131] It was renamed St David's University College (Coleg Prifysgol Dewi Sant) in 1971, when it became part of the federal University of Wales. It was again renamed University of Wales, Lampeter in 1996 in line with moves elsewhere in the University of Wales. In 2010 it merged with Trinity University College to form the University of Wales, Trinity Saint David.[132] Although described as the oldest university in Wales,[133][134] it was not listed by RÃ¼egg as meeting standard criteria for a university[135] and lost a court case in 1951 against the Ministry of Education in which it sought to receive recognition as a university.[136]"
United Kingdom(Â Wales),Â,United Kingdom(Â Wales)(Aberystwyth),Aberystwyth University,1872,"Founded in 1872 as University College Wales, offering courses leading to degrees of the University of London, it became a founder member of the University of Wales in 1894.[137] It claims to be ""Wales's oldest university"",[138] but was listed by RÃ¼egg as a college of the University of Wales rather than as a university.[130] It became an independent university (as Aberystwyth University) in 2007.[139]"
Australia,Â New South Wales,New South Wales,University of Sydney,1850,"Oldest in New South Wales, Australia and Oceania."
Australia,Â Victoria,Victoria,University of Melbourne,1853,Oldest in Victoria.
Australia,Â South Australia,South Australia,University of Adelaide,1874,Oldest in South Australia.
Australia,Â South Australia,South Australia,University of South Australia,1889,UniSA was formed in 1991 by the merger of the South Australian Institute of Technology with three South Australian College of Advanced Education campuses.
Australia,Â Tasmania,Tasmania,University of Tasmania,1890,Oldest in Tasmania.
Australia,Â Queensland,Australia(Â Queensland),University of Queensland,1909,Oldest in Queensland.
Australia,Â Western Australia,Australia(Â Western Australia),University of Western Australia,1911,Oldest in Western Australia.
Australia,Â Australian Capital Territory,Australia(Â Australian Capital Territory),Australian National University,1946,Oldest in Australian Capital Territory.
Australia,Â Northern Territory,Australia(Â Northern Territory),Charles Darwin University,1989,"Founded as University of the Northern Territory in 1989, merged with other institutions to form Charles Darwin University in 2003.[159]"
Cook,Cook IslandsÂ FijiÂ KiribatiÂ Marshall IslandsÂ NauruÂ NiueÂ SamoaÂ Solomon IslandsÂ TokelauÂ TongaÂ TuvaluÂ Vanuatu,Colony of Fiji,University of the South Pacific,1968,"Regional university, operating in (and owned by the governments of) 12 Pacific island nations. Main campus in Fiji."
Guam,Guam,Trust Territory of the Pacific Islands,University of Guam,1965,
Papua,Papua New Guinea,Papua New Guinea,University of Papua New Guinea,1965,First university in Papua New Guinea.
New Zealand,Â Otago,New Zealand(Dunedin),University of Otago,1869,Oldest in New Zealand.
New Zealand,Auckland,New Zealand(Auckland),University of Auckland,1883,Oldest in the North Island.
